Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Portugal,791,930,979,869,985,944,982,1127,1241,1236,1218,1205,1082,1149,1194,1119,1018,1050,929,391,263,330,235,221,289,272,262,395,425,336,438,353,302,393,378,339,238,366,221,61
,,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
,,Qatar,6,14,18,29,82,76,70,56,47,42,49,57,76,24,11,11,18,38,48,16,6,14,6,17,58,28,22,32,11,6,37,9,16,0,11,11,6,26,0,4
,,Romania,75,28,128,207,236,251,291,247,278,239,195,165,193,228,240,172,196,212,192,58,27,16,104,51,32,83,51,55,86,59,51,45,73,72,72,16,52,56,84,4
,,Russian Federation,2997,3334,3102,2975,2780,2715,2862,3762,4243,4056,4268,4437,5321,5010,4483,3861,3668,3205,2478,945,1293,898,774,743,812,867,1014,1494,1375,1224,1436,1281,1709,1110,1123,993,1076,613,546,111
,,Rwanda,35,24,16,58,60,38,66,29,36,39,39,69,103,57,46,50,51,79,64,28,11,0,16,34,0,38,6,17,12,3,3,33,7,21,10,14,3,19,4,4
,,Samoa ,34,46,83,71,75,59,24,0,28,30,12,16,12,12,12,24,18,12,0,0,10,10,35,11,27,11,0,0,28,6,0,16,0,0,12,0,6,0,0,0
,,"Samoa, American",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Sao Tome and Principe,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Saudi Arabia,105,261,393,814,1600,2825,5692,11832,18810,20968,16521,14315,12861,12149,12014,11321,11595,13614,13989,5723,45,141,165,430,844,1397,3184,6480,7866,6808,4473,3743,3261,3497,3542,2885,3147,4662,2709,671
,,Senegal,12,0,0,0,0,0,0,11,6,23,24,12,0,0,0,11,12,12,12,0,0,0,0,0,0,0,0,11,6,11,0,0,0,0,0,11,0,0,0,0
,,Serbia,0,0,10,12,45,70,77,72,57,47,74,123,165,250,239,280,257,223,204,91,0,0,10,0,33,22,29,0,9,11,26,51,69,58,71,64,41,55,48,13
,,Seychelles,70,126,136,125,83,69,81,36,24,12,18,12,22,34,47,12,12,22,22,6,34,42,16,17,11,33,21,0,0,0,6,0,10,10,11,0,0,10,10,0
,,Sierra Leone,12,16,12,12,6,12,0,10,12,12,12,11,14,24,36,70,77,60,52,32,0,16,0,0,6,0,0,10,0,0,0,11,2,0,12,34,17,0,4,20
,,Singapore,21619,21244,19415,17988,16337,15378,14690,15777,15823,14991,14488,14514,13437,12999,13672,14742,15286,15027,14956,5998,7891,6100,5135,4728,4133,4014,3914,4065,4387,4047,3964,3666,3957,3651,4192,4206,3922,3075,2896,784
,,Slovakia,699,827,842,886,830,619,517,521,452,408,431,546,834,1094,1069,983,741,662,446,135,291,287,230,322,158,115,133,173,116,108,107,246,270,338,253,179,177,86,86,15
,,Slovenia,87,82,48,80,81,81,53,40,36,69,0,13,51,48,64,53,75,63,72,31,27,10,12,20,21,33,17,16,0,33,0,13,27,0,28,17,27,15,0,7
,,Solomon Islands,135,162,193,276,283,178,123,80,182,174,187,191,142,81,132,215,266,221,217,118,75,66,49,120,43,22,27,32,122,54,55,71,10,33,60,107,62,65,49,28
,,Somalia,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,South Africa,880,876,842,769,851,959,869,900,1120,1141,1041,990,804,821,833,1033,1322,1496,1605,792,268,252,290,253,383,263,269,312,400,349,393,318,216,281,293,469,470,476,381,108
,,Spain,360,470,423,468,516,521,494,564,717,687,881,1017,1183,1107,1079,1366,1434,1395,1413,522,180,206,147,204,216,269,230,276,357,351,317,417,403,315,443,478,378,435,333,72
,,Sri Lanka,4121,4189,4544,4846,5080,5809,6090,6353,6346,5919,5745,5719,6412,7182,7855,9096,10432,11975,11986,4692,1049,1213,1412,1450,1360,2077,1950,1649,1618,1455,1653,1651,2032,1962,2347,2544,2764,2987,2398,486
,,St Kitts and Nevis,0,0,0,0,0,0,7,12,0,0,22,24,12,12,11,18,24,24,12,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,11,6,0,0,0,0
,,St Lucia,10,23,12,12,12,0,0,0,0,0,0,0,0,15,24,12,12,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
,,St Vincent and the Grenadines,12,0,0,0,11,12,12,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5
,,Sudan,36,0,21,19,12,11,0,0,5,31,42,45,70,89,101,89,118,154,147,48,0,0,21,7,0,11,0,0,5,19,6,21,22,29,29,29,46,46,27,0
,,Suriname,12,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,10,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,10,0,0,0
,,Swaziland,24,6,12,10,0,0,6,12,0,11,0,0,10,0,0,0,6,27,36,6,0,6,0,10,0,0,6,0,0,11,0,0,10,0,0,0,6,15,0,0
,,Sweden,4398,4333,4314,4253,4046,3546,3450,3291,3571,3294,2536,2454,2561,2540,2357,2589,2481,2236,2189,799,1530,1453,1506,1481,1130,1098,1230,999,1123,954,640,918,797,788,713,693,693,628,593,121
,,Switzerland,650,887,1119,1224,1119,1130,928,971,1055,944,764,748,637,643,742,857,712,648,710,267,278,419,423,336,423,398,364,443,335,344,272,328,205,307,334,293,124,180,194,51
,,Syria,95,107,106,113,163,152,114,161,300,350,240,80,70,96,89,91,87,80,76,40,35,47,46,53,55,44,42,89,168,110,36,8,46,24,17,43,27,32,4,4
,,Taiwan,12886,13376,12854,12363,12463,12201,11003,10549,10174,9265,8062,7016,6683,6858,6875,7508,7700,9107,10104,4569,4870,4712,4322,4323,4243,4173,4163,3721,3394,2941,2506,2336,2423,2034,2303,2444,2348,3167,2832,741
,,Tajikistan,15,12,0,0,0,0,7,12,23,23,12,0,0,0,16,30,24,0,0,0,15,0,0,0,0,0,7,0,11,11,0,0,0,0,16,6,0,0,0,0
,,Tanzania,225,179,204,209,208,255,286,386,325,285,247,227,225,276,298,311,326,329,384,162,81,35,84,53,64,75,118,98,85,57,91,23,69,84,106,95,62,101,96,30
,,Thailand,19942,22885,24663,22908,21282,20093,17532,16645,16858,14814,14365,14524,11874,10928,10122,10029,9721,9076,8113,2752,8266,9505,9183,7500,7026,6329,6516,6325,6154,5034,5245,4564,3462,3212,3234,3033,2677,2572,1957,364
,,Togo,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
,,Tonga,284,296,169,185,184,184,155,141,95,83,82,59,22,30,46,51,92,131,140,42,92,128,37,65,28,40,47,21,23,11,22,11,10,18,22,15,32,35,44,0
,,Trinidad and Tobago,23,12,21,12,41,34,36,56,92,71,46,48,24,22,36,55,48,64,60,18,11,0,21,0,29,10,0,32,32,23,10,0,0,10,12,31,12,28,0,6
,,Tunisia,16,34,29,22,30,12,12,0,4,12,12,18,36,34,32,53,52,23,24,11,16,10,5,10,6,0,0,0,4,0,0,6,12,22,8,17,16,11,0,5
,,Turkey,1032,1343,1672,1746,1490,1414,1670,2134,2495,2666,2417,2173,2045,1851,1913,2093,2086,1967,1699,677,516,539,664,534,434,478,770,790,923,746,677,601,521,555,713,545,514,527,295,83
,,Turkmenistan,0,10,12,12,12,0,0,0,0,0,0,17,27,52,47,24,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,17,3,16,11,0,11,0,0,0
,,Tuvalu,48,47,34,30,35,56,24,17,12,0,0,0,0,0,0,0,11,26,35,17,12,11,10,6,11,8,0,5,0,0,0,0,0,0,0,0,11,14,11,5
,,Uganda,114,115,162,214,261,190,201,219,188,173,169,210,287,386,407,461,543,563,534,209,30,55,66,106,81,22,45,75,32,17,49,126,71,122,107,161,135,95,78,29
,,Ukraine,255,268,169,173,189,209,271,373,291,202,212,401,589,748,847,756,654,572,487,157,87,64,37,65,57,29,163,97,63,34,104,173,229,208,223,168,114,152,67,7
,,United Arab Emirates,55,65,64,170,308,344,378,440,632,665,760,670,605,411,337,308,441,653,662,293,19,17,16,110,152,116,114,128,308,233,256,166,89,75,73,104,189,245,170,47
,,United Kingdom,6558,8143,8580,8917,8678,8709,8541,8491,8633,7488,6050,5124,5209,5052,5018,4857,4675,4679,4817,2203,2994,3139,2952,2929,2570,2853,2637,2467,2753,1920,1514,1488,1597,1392,1334,1377,1267,1259,1277,367
,,United Kingdom (Other),1161,761,517,427,316,186,95,65,52,36,12,0,0,0,0,0,0,0,0,0,213,113,73,103,64,18,11,17,28,0,0,0,0,0,0,0,0,0,0,0
,,United States (Territories),0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,United States of America,6943,8670,9270,10587,10579,10340,9971,10183,10262,9888,9169,8508,7325,6884,8001,9133,9644,10116,10616,4616,3535,4134,4194,4395,4351,4016,4247,3907,4214,4104,3385,2976,2117,2420,2901,2989,2996,3024,2840,704
,,Uruguay,12,6,63,89,48,36,25,34,31,35,24,24,24,24,21,64,94,128,155,47,0,6,63,17,0,12,1,10,31,11,12,0,0,0,21,40,46,8,35,5
,,Uzbekistan,126,176,267,320,177,213,255,341,283,242,229,169,243,381,500,727,872,1064,904,321,54,68,111,68,45,57,87,137,67,26,61,49,87,141,116,223,272,212,136,21
,,Vanuatu,12,12,28,35,29,24,33,68,70,81,78,73,85,85,58,47,54,58,35,12,0,0,28,11,17,0,21,32,10,9,42,13,13,13,10,11,42,10,11,0
,,Venezuela,342,404,593,447,304,310,338,396,565,742,814,719,630,585,549,676,632,570,361,125,114,164,269,99,88,130,122,192,217,298,322,191,198,153,237,148,152,102,49,23
,,Vietnam,6410,7346,7612,8453,9541,11860,16411,23818,31697,36583,39029,39976,42402,43341,46693,53259,57550,59045,56262,22257,2558,2246,2152,2753,3241,4480,7123,9934,12209,12415,12701,11572,13914,13773,16717,17019,16618,17165,14874,3585
,,Yemen,34,36,34,30,18,12,2,34,36,12,12,0,0,0,0,8,46,48,72,40,10,0,22,6,6,0,2,22,0,0,0,0,0,0,0,8,22,0,24,10
,,Yugoslavia,170,124,152,101,126,84,81,51,60,24,24,12,0,0,0,0,0,0,0,0,26,28,56,17,42,24,9,27,0,0,0,0,0,0,0,0,0,0,0,0
,,Zambia,104,126,124,140,154,179,151,265,217,279,277,234,235,254,277,309,308,235,240,134,32,42,16,56,70,35,55,97,61,111,85,30,55,122,97,57,80,31,96,14
,,Zimbabwe,836,1097,1105,1153,1240,1460,1460,1527,1186,1054,865,797,904,1214,1624,1870,1942,2031,1955,865,368,233,241,313,424,560,488,411,178,178,205,293,328,458,676,586,466,567,491,115
,NSW Total,,425499,501418,578447,671453,709446,728949,738573,808434,877877,890792,848558,830162,872976,942668,1085797,1282017,1491401,1645407,1647530,685890,174183,186634,211583,224621,220278,236301,261537,283542,298985,284696,258746,270050,291204,315620,374401,429921,463733,488211,400946,108348
,VIC,Other,910,892,836,718,674,714,772,760,639,488,314,257,191,171,124,143,151,92,104,18,442,232,272,130,230,234,268,172,195,92,86,41,35,63,40,23,43,20,20,0
,,Afghanistan,0,0,0,6,23,39,76,98,164,160,133,94,84,30,18,43,46,67,98,42,0,0,0,6,11,15,16,38,56,28,37,10,12,6,6,19,22,31,14,0
,,Albania,26,46,35,12,17,24,13,24,43,58,75,109,111,106,147,190,199,163,211,96,26,10,11,0,17,0,1,0,31,10,39,37,27,70,63,46,55,43,55,12
,,Algeria,0,0,0,0,2,12,12,11,12,18,12,22,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,6,0,10,0,0,0,0,0,0,0,0
,,Andorra,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
,,Angola,30,36,47,36,45,24,29,19,26,12,23,12,0,0,0,10,0,0,0,0,6,0,11,12,21,0,17,7,2,0,11,0,0,0,0,10,0,0,0,0
,,Argentina,181,302,340,224,134,200,150,140,180,182,230,273,360,375,416,342,442,595,605,241,109,122,124,32,50,68,30,68,48,74,74,93,168,111,140,90,202,151,221,13
,,Armenia,0,0,0,0,0,0,10,12,12,0,0,0,16,31,35,26,36,51,48,18,0,0,0,0,0,0,10,0,0,0,0,0,16,7,11,2,0,27,0,0
,,Austria,135,161,197,233,197,146,171,159,150,171,204,213,245,294,273,306,299,306,221,101,39,77,89,89,29,50,75,75,42,63,72,69,89,78,45,78,119,66,17,11
,,Azerbaijan,12,12,0,0,0,16,24,28,24,24,30,47,140,235,281,159,120,110,105,36,0,0,0,0,0,16,0,4,0,0,6,11,104,103,77,27,60,14,21,0
,,Bahamas,0,0,0,0,11,0,6,12,0,0,0,0,11,12,12,12,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0
,,Bahrain,94,209,309,482,626,650,626,548,496,508,403,267,217,199,169,142,149,129,94,28,58,101,105,158,218,206,146,176,172,112,91,75,61,67,49,46,65,21,46,4
,,Bangladesh,4316,6362,8400,9351,8199,6569,5385,4736,5496,6411,7517,8489,9662,10714,12309,13244,14534,15176,14329,5681,1808,2954,2880,2535,2079,1589,1233,1484,1848,1971,2213,2441,2858,2854,3477,3668,4358,3788,3229,725
,,Barbados,0,0,6,12,0,0,0,0,10,12,12,12,12,0,0,0,11,24,12,6,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,11,12,0,0
,,Belarus,39,51,57,98,129,84,51,36,24,32,42,36,70,55,42,24,30,38,24,6,15,15,21,38,33,0,15,0,0,8,6,12,22,7,6,0,6,14,0,0
,,Belgium,977,914,1089,1181,1548,1912,2060,2118,1855,1679,1352,1182,792,692,511,429,459,415,467,224,329,242,477,353,624,640,512,570,391,515,344,234,192,176,103,117,147,103,71,44
,,Belize,23,12,23,24,12,0,0,6,18,24,0,0,0,0,0,0,11,12,12,0,11,0,11,0,0,0,0,6,6,0,0,0,0,0,0,0,11,0,0,0
,,Benin,0,0,0,2,12,12,0,0,12,12,0,0,0,0,0,0,0,10,12,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0
,,Bermuda,0,17,12,0,0,0,0,0,0,0,0,0,0,0,9,12,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
,,Bhutan,68,118,235,255,196,217,217,223,317,298,255,280,357,497,595,557,590,898,1301,443,20,94,127,123,76,109,85,91,161,58,99,76,165,161,163,173,206,358,449,17
,,Bolivia,0,0,0,0,0,0,0,0,31,24,23,40,36,67,65,54,70,67,51,21,0,0,0,0,0,0,0,0,31,0,11,16,0,31,17,6,34,7,15,9
,,Bosnia and Herzegovina,0,0,0,0,26,36,23,34,36,29,12,0,19,63,59,57,74,108,114,36,0,0,0,0,26,0,11,10,0,5,0,0,19,27,11,33,26,36,6,6
,,Botswana,2342,2137,2680,2757,2228,1990,1883,1741,1351,1024,904,707,547,404,269,202,222,289,400,194,902,529,856,585,440,262,383,313,127,160,76,71,91,128,77,70,78,145,100,8
,,Bouvet Island,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Brazil,458,623,706,543,621,681,837,1055,1147,1252,1125,1336,1575,1814,2235,2967,3639,3752,3918,1580,206,227,250,219,273,285,405,455,439,424,357,556,471,542,807,1095,1107,1148,858,188
,,British Indian Ocean Territory,0,10,12,29,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Brunei Darussalam,760,862,991,1124,1103,1386,1476,1411,1245,1220,1107,1018,1038,1143,1405,1434,1334,1236,1093,445,328,370,343,332,251,534,456,415,285,392,363,274,318,555,421,330,242,372,277,37
,,Bulgaria,158,133,141,70,48,69,42,61,91,89,95,95,94,102,132,206,259,152,80,31,50,37,33,22,0,33,6,37,19,17,23,23,34,18,48,110,67,20,32,13
,,Burkina Faso,0,0,0,0,0,11,12,0,0,0,0,0,0,10,12,12,12,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0
,,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
,,Cambodia,616,715,679,597,654,877,949,1224,1435,1592,1545,1651,1965,2577,3650,4780,6506,8683,10653,5220,232,271,175,141,258,349,313,492,535,584,525,523,789,1149,1502,1936,2486,3619,4005,1122
,,Cameroon,0,11,0,0,23,24,24,33,40,12,12,12,22,30,47,63,82,118,102,48,0,11,0,0,23,0,0,21,16,0,0,0,22,6,11,27,22,46,6,0
,,Canada,2175,2875,3752,4223,4693,4712,4531,4891,4472,4243,4352,4292,4768,5034,5389,5560,5683,5623,5828,2747,1095,1447,1964,2423,2605,2168,2035,1723,1280,1567,1676,1340,1444,1614,1837,1612,1555,1663,1772,425
,,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,,Chile,75,115,153,227,261,311,369,694,1177,1416,1587,2001,2064,2187,2112,1979,1941,1811,1899,757,51,19,93,119,93,155,249,478,457,492,579,837,576,795,636,707,657,575,543,121
,,China,43323,71961,105442,141296,157637,164542,180829,219051,260008,289872,281095,271845,291659,332576,402774,473075,539604,568957,531337,222969,22527,32109,45106,53096,55397,56650,66121,83979,94192,97752,87583,90357,106775,117152,144750,168563,187560,174541,135157,37629
,,Colombia,1388,2082,2143,1602,1735,2180,2428,3076,4286,4963,5118,5225,5897,6434,6605,6585,6859,7038,7045,2773,908,978,607,498,691,968,1108,1384,1850,1879,2010,1853,2249,2018,1937,2217,2107,2358,1801,433
,,"Congo, Democratic Republic of",0,0,7,22,24,34,12,22,12,12,15,12,25,53,53,50,59,42,52,28,0,0,7,10,0,10,0,10,0,0,15,0,25,17,17,14,11,6,16,4
,,Costa Rica,22,12,12,11,0,22,24,12,18,12,0,0,0,3,43,97,110,102,82,18,10,0,0,11,0,22,0,0,6,0,0,0,0,3,31,49,14,6,10,0
,,Cote d'Ivoire,0,0,0,11,12,0,0,0,0,0,0,0,0,0,11,12,0,11,12,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0
,,Croatia,59,48,53,22,12,36,69,65,48,34,42,67,87,85,113,156,120,104,125,48,23,0,17,10,0,24,21,17,0,10,6,19,27,37,29,84,0,8,17,6
,,Cuba,0,0,0,6,12,12,12,12,0,8,18,12,18,22,19,12,0,0,0,0,0,0,0,6,0,0,0,0,0,8,6,0,6,10,7,0,0,0,0,0
,,Cyprus,91,96,70,48,56,30,23,30,32,56,65,54,54,70,49,71,70,48,12,6,43,12,22,12,8,6,11,6,20,32,17,30,18,10,13,11,22,0,0,0
,,Czech Republic,100,76,113,123,106,74,49,38,79,106,106,136,112,169,215,205,150,139,163,64,64,16,77,39,34,14,37,2,43,34,46,52,16,49,83,25,18,79,43,10
,,Denmark,362,511,405,374,330,298,226,395,385,353,264,295,317,348,454,496,517,538,415,134,194,199,129,170,90,94,118,239,145,113,132,127,113,84,178,124,157,106,103,8
,,Djibouti,0,0,0,0,0,0,0,0,0,0,6,12,19,24,12,23,24,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,11,0,0,0,0
,,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,11,11,6,16,23,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,6,4,11,0,0,0
,,Dominican Republic,0,0,0,0,36,48,24,12,0,6,23,24,16,20,24,24,22,24,10,4,0,0,0,0,36,0,0,0,0,6,11,0,16,8,0,0,22,0,10,4
,,East Timor,80,114,159,151,106,83,75,103,82,88,119,106,143,185,153,178,222,160,206,96,68,30,39,43,10,11,51,43,10,40,11,46,23,65,33,58,66,64,86,6
,,Ecuador,30,38,72,77,41,24,58,50,146,182,215,1228,2999,3147,1742,1055,820,694,566,193,6,26,36,17,17,12,22,26,110,38,155,976,1415,723,194,203,208,118,86,13
,,Egypt,185,228,207,227,286,284,284,275,357,423,485,493,508,628,665,784,969,1063,1237,541,65,96,15,59,94,116,92,107,165,87,161,109,172,208,161,208,321,259,373,55
,,El Salvador,20,24,24,0,0,6,18,24,12,38,41,30,36,32,35,48,59,105,72,18,20,0,0,0,0,6,6,0,0,26,17,6,12,20,11,24,11,45,0,0
,,Eritrea,0,0,10,16,24,12,22,24,12,12,0,11,0,0,0,0,0,0,0,0,0,0,10,16,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0
,,Estonia,6,22,42,22,34,35,17,38,36,23,54,78,95,109,119,108,71,66,82,18,6,22,6,10,22,11,5,26,0,11,42,30,47,49,35,0,11,18,10,6
,,Ethiopia,92,87,116,113,125,140,192,201,223,242,287,264,369,522,645,685,656,480,452,170,20,27,32,29,53,68,72,69,43,62,59,48,117,126,165,85,104,84,68,20
,,Falkland Islands,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Fiji,793,769,664,656,610,570,526,664,485,470,507,352,388,497,514,678,705,750,702,263,265,265,124,224,142,174,202,244,137,182,147,40,184,161,142,234,225,174,150,17
,,Finland,95,190,174,211,255,195,220,248,323,337,289,258,231,191,237,287,246,261,248,104,35,94,66,79,99,27,88,92,131,85,61,78,75,83,117,95,90,93,44,14
,,France,890,1020,1065,997,1273,1697,1755,1873,2303,2762,2618,2464,2380,2641,2937,3184,3246,2852,2536,875,458,492,477,409,601,857,675,853,1007,1214,1058,988,1024,1105,1053,1072,1026,836,688,101
,,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
,,Gambia,0,0,0,0,0,0,0,0,0,0,4,12,21,24,19,24,30,31,37,12,0,0,0,0,0,0,0,0,0,0,4,0,9,0,7,0,6,7,1,0
,,Gaza Strip and West Bank,35,61,53,70,71,56,48,30,22,69,59,74,60,42,58,53,103,102,94,30,11,49,5,22,11,20,0,6,10,45,11,26,0,30,22,17,43,6,22,0
,,Georgia,0,0,0,0,0,0,0,0,0,0,10,12,5,12,18,24,18,24,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,6,0,6,0,0,0
,,Germany,1665,2239,3226,3836,3667,3729,3777,4355,4851,4419,3370,2866,2854,2888,3101,3633,3739,3188,3095,1221,825,1015,1642,1448,1279,1329,1365,1571,1659,1083,1030,838,718,824,929,1113,943,680,875,99
,,Ghana,105,109,126,161,129,140,177,124,140,117,135,225,318,498,701,830,1055,1181,1010,422,33,13,30,41,21,44,57,16,56,21,39,105,102,174,245,206,323,209,158,44
,,Greece,125,149,126,108,141,177,120,162,140,129,287,420,515,566,423,401,419,364,349,116,41,41,30,48,45,45,60,30,20,57,155,168,155,122,87,101,107,64,109,14
,,Grenada,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,10,23,24,12,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,11,0,0,0
,,Guatemala,12,4,12,12,18,24,2,42,34,8,19,26,36,64,78,70,60,89,116,51,0,4,0,0,6,0,2,30,10,8,7,14,0,52,6,22,0,53,32,21
,,Guinea,0,0,0,0,0,0,0,0,0,11,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0
,,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
,,Guyana,12,22,12,12,0,0,0,0,0,0,0,0,4,12,12,20,12,12,12,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0
,,Haiti,0,0,0,0,0,0,0,10,12,12,12,0,0,0,0,6,12,22,12,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,10,0,0
,,Honduras,12,12,0,0,11,12,16,28,24,30,33,36,12,22,12,0,0,16,50,34,0,0,0,0,11,0,16,4,0,6,21,0,0,10,0,0,0,16,38,4
,,Hong Kong,34977,42392,44631,40888,33032,25847,20985,19083,19162,20039,20112,20381,21405,22115,22612,23825,23675,22785,22211,10114,14217,14096,12063,9928,7448,6203,5445,5535,5578,6263,6264,5717,6981,7115,7324,7709,6947,7209,6371,2362
,,Hungary,152,204,130,108,85,76,76,80,63,71,122,240,351,338,262,341,242,198,164,64,68,60,34,12,13,16,16,20,27,35,50,120,75,110,70,77,26,42,32,10
,,Iceland,20,12,24,28,54,76,104,98,72,59,12,54,67,72,127,77,63,79,104,34,20,0,12,4,42,28,68,50,36,11,0,42,31,36,55,17,15,31,20,4
,,India,41282,58513,80756,98629,110681,122883,126092,122841,102174,66137,51118,65124,105169,146610,185258,240664,324572,428943,402074,127476,16214,28549,33932,31765,38201,44163,40412,37065,19326,14897,19258,28812,45529,51834,60266,87844,113936,142815,77174,10950
,,Indonesia,55762,56564,53475,49142,45409,41932,39698,39774,40467,42653,41791,39608,37992,38978,41272,44975,48677,52339,53760,21517,18958,16832,15927,14066,13573,12556,13130,12534,12423,14069,12283,11300,12300,12446,13264,14027,15833,16507,14592,2749
,,Iran,292,537,878,1272,1935,2824,3841,4915,5935,6874,7913,8151,8555,8443,8025,7928,8267,8430,7962,3256,124,225,350,372,831,1228,1261,1963,2059,2266,2489,2139,2003,1891,1665,1952,2051,1734,1422,292
,,Iraq,0,25,49,42,36,45,114,322,397,459,575,738,1342,2069,2441,1964,1544,1019,560,175,0,25,13,18,0,33,90,118,73,63,155,306,514,821,341,140,248,35,44,19
,,Ireland,213,140,298,394,449,368,326,403,345,453,432,433,384,330,301,217,323,406,440,156,57,68,154,190,161,56,158,211,117,225,156,169,60,90,73,85,131,118,152,0
,,Israel,763,1098,1016,921,923,726,823,770,581,553,458,356,352,324,429,458,469,321,277,110,511,438,332,285,395,222,223,194,221,229,98,104,88,120,141,122,121,45,49,32
,,Italy,423,457,401,421,613,694,798,868,1039,1314,1540,1554,1809,2299,2968,2992,2818,2566,2397,943,207,157,137,157,241,274,306,328,463,558,556,462,693,799,964,724,682,646,657,97
,,Jamaica,28,46,34,50,41,30,23,0,0,5,24,53,51,54,53,50,59,54,24,6,16,10,10,38,5,6,11,0,0,5,12,17,39,6,17,2,11,18,0,0
,,Japan,6270,6854,7253,8537,8376,8100,6837,5980,5353,4922,4406,3932,3528,3534,3757,3977,3916,4147,4589,2092,2826,2438,3281,3257,3180,2988,2049,1948,1657,1634,1370,1280,1092,1194,1165,1217,1264,1519,1433,418
,,Jordan,193,379,410,359,322,445,414,375,332,326,314,386,415,387,651,786,733,755,723,305,133,151,146,71,166,157,102,111,56,74,110,110,127,87,303,210,157,215,207,17
,,Kazakhstan,89,116,72,62,48,34,70,117,155,191,259,269,296,287,264,292,327,295,257,121,53,20,0,14,0,22,46,33,59,83,67,101,92,71,96,112,99,79,53,31
